"PAM200r - family","population","function","No of TM"
1,1,,
2,1,,
3,235,"HISTOCOMPATIBILTY ANTIGENS","1"
4,10,"3-BETA HYDROXY-5-ENE STEROID DEHYDROGENASE","2(1)"
5,2,,
6,212,"G-PROTEIN COUPLED RECEPTORS","7"
7,101,"ION-CHANNEL RECEPTORS","4"
8,109," IG-TYPE RECEPTORS","1"
9,4,,
10,1,,
11,1,,
12,6,"ANGIOTENSIN-CONVERTING ENZYME PRECURSOR","1"
13,1,,
14,1,,
15,1,,
16,1,,
17,12,"CELL SPECIFIC ANTIGENS","4"
18,35,"MULTIDRUG RESISTANCE (P-GLYCOPROTEIN)  ??","12 (7)"
19,30,"MITOCHONDRIAL CARRIERS","6"
20,1,,
21,4,,
22,1,,
23,2,,
24,4,,
25,4,,
26,1,,
27,4,,
28,4,,
29,1,,
30,5,"AMINOPEPTIDASES",
31,2,,
32,15,"MISC. RECEPTORS ???","12(1)"
33,1,,
34,1,,
35,2,,
36,2,,
37,32,"SUGAR PREMEASES","12"
38,23,"SENSOR PROTEINS","2(4)"
39,4,,
40,11,"AMINO ACID PERMEASES","12"
41,13,"CELL SURFACE ANTIGENS (BACTERIAL)","1"
42,3,,
43,66,"ATPASES","8(10)"
44,18,"ATPASES B-CHAIN","1"
45,1,,
46,20,"ATP SYNTHASE A CHAIN","4"
47,18,"ATP SYNTHASE LIPID BINDING PROTEIN","2"
48,1,,
49,22,"ATP SYNTHASE B CHAIN","1"
50,3,,
51,1,,
52,19,"ATP SYNTHASE C CHAIN","2"
53,1,,
54,1,,
55,1,,
56,1,,
57,2,,
58,1,,
59,2,,
60,2,,
61,1,,
62,1,,
63,1,,
64,1,,
65,5,"ACTIVIN RECEPTOR TYPE II","1"
66,1,,
67,9,"BAND 3","10"
68,6,"BACTERIORHODOPSIN","7"
69,1,,
70,1,,
71,3,,
72,2,,
73,1,,
74,5,"POLYSACCHARIDE EXPORT PROTEIN","0"
75,1,,
76,2,,
77,21,"INTRINSIC PROTEINS","6"
78,1,,
79,1,,
80,1,,
81,2,,
82,1,,
83,1,,
84,4,,
85,3,,
86,6,"BRANCHED-CHAIN AMINO ACID TRANSPORT PROTEIN",
87,1,,
88,4,,
89,1,,
90,1,,
91,1,,
92,1,,
93,1,,
94,69,"CHLOROPHYLL A-B BINDING PROTEIN OF LHC","3"
95,1,,
96,11,"CADHERIN PRECURSOR","1"
97,1,,
98,2,,
99,2,,
100,6,"MISC. PEPTIDE RECEPTORS","7"
101,4,,
102,1,,
103,1,,
104,1,,
105,1,,
106,1,,
107,5,"EARLY LIGHT-INDUCED PROTEIN PRECURSOR","0"
108,1,,
109,3,,
110,3,,
111,1,,
112,1,,
113,3,,
114,3,,
115,6,"GROWTH FACTOR RECEPTORS","1"
116,1,,
117,1,,
118,2,,
119,1,,
120,7,"T-CELL SURFACE GLYCOPROTEIN CD3, DELTA AND GAMMA CHAINS","1"
121,4,,
122,7,"T-CELL SURFACE GLYCOPROTEIN CD3, EPSILON AND ZETA CHAINS","1"
123,5,"TNF-RECEPTOR","1"
124,5,"CD44 ANTIGEN","1"
125,3,,
126,2,,
127,1,,
128,5,"T-CELL SURFACE GLYCOPROTEIN CD4","1"
129,3,,
130,2,,
131,1,,
132,5,"T-CELL SURFACE GLYCOPROTEIN CD8","1"
133,4,,
134,7,"COLICIN","0"
135,5,"CELL FUSION PROTEIN PRECURSOR (SYNCYTIAL PROTEIN)","4"
136,4,,
137,1,,
138,36,"CHITIN SYNTHASE","4?"
139,10,"SODIUM CHANNEL/CALCIUM CHANNEL","24"
140,1,,
141,1,,
142,1,,
143,3,,
144,26,"POTASSIUM CHANNEL","6"
145,5,"CITRATE-PROTON SYMPORT","12"
146,1,,
147,3,,
148,1,,
149,2,,
150,1,,
151,1,,
152,53,"CYTOCHROME C OXIDASE POLYPEPTIDE I","0 (15?)"
153,75,"CYTOCHROME C OXIDASE POLYPEPTIDE II","2"
154,34,"CYTOCHROME C OXIDASE POLYPEPTIDE III","0 (5?)"
155,1,,
156,1,,
157,1,,
158,1,,
159,2,,
160,2,,
161,11,"CYTOCHROME P450","1(2,5)"
162,2,,
163,3,,
164,5,"COMPLEMENT RECEPTOR","1"
165,1,,
166,1,,
167,1,,
168,4,,
169,2,,
170,2,,
171,1,,
172,28,"GAP JUNCTION PROTEINS","4"
173,1,,"1"
174,11,"CYTOCHROME C1",
175,1,,
176,8,"CYTOCHROME B5","0"
177,123,"CYTOCHROME B","0"
178,1,,
179,1,,
180,9,"APOCYTOCHROME F PRECURSOR (PLANTS)","1"
181,2,,
182,1,,
183,1,,
184,2,,
185,1,,
186,11,"MISC. ION TRANSPORTERS","6"
187,1,,
188,1,,
189,1,,
190,1,,
191,1,,
192,6,"GLAST-FAMILY","8(6-10)"
193,2,,
