"ID","all","known orientation","ER, known orientation","all/Pam80","all/PAM200","ER/PAM200"
"100K_LACLA",1,,,1,1,
"14KD_RHOSH",1,,,1,1,
"1A01_GORGO",212.0488,192.1835,192.1835,152,235,191
"1A01_HUMAN",212.0835,192.3114,192.3114,152,235,191
"1A01_PANTR",215.7425,195.3412,195.3412,152,235,191
"1A01_PONPY",211.8428,191.5649,191.5649,152,235,191
"1A01_SAGOE",210.8173,190.7794,190.7794,152,235,191
"1A02_GORGO",210.5976,190.8333,190.8333,152,235,191
"1A02_HUMAN",212.6987,192.7697,192.7697,152,235,191
"1A02_PANTR",223.0107,203.0494,203.0494,152,235,191
"1A03_GORGO",213.0729,193.2309,193.2309,152,235,191
"1A03_PANTR",214.6985,,,152,235,
"1A04_GORGO",210.3156,190.5531,190.5531,152,235,191
"1A04_PANTR",216.0684,195.8484,195.8484,152,235,191
"1A05_HUMAN",212.7163,192.7847,192.7847,152,235,191
"1A07_HUMAN",213.0525,193.0884,193.0884,152,235,191
"1A12_HUMAN",212.6777,192.7959,192.7959,152,235,191
"1A13_HUMAN",212.4675,192.517,192.517,152,235,191
"1A14_HUMAN",216.3057,196.1068,196.1068,152,235,191
"1A16_HUMAN",216.2279,196.0299,196.0299,152,235,191
"1A17_HUMAN",214.0833,194.0557,194.0557,152,235,191
"1A18_HUMAN",213.2609,193.2662,193.2662,152,235,191
"1A19_HUMAN",213.5464,193.4991,193.4991,152,235,191
"1A20_HUMAN",214.9533,194.7948,194.7948,152,235,191
"1A21_HUMAN",214.2728,194.1969,194.1969,152,235,191
"1A22_HUMAN",213.0075,193.0277,193.0277,152,235,191
"1A23_HUMAN",212.2472,192.1576,192.1576,152,235,191
"1A24_HUMAN",213.7455,193.5706,193.5706,152,235,191
"1A25_HUMAN",215.7887,195.6507,195.6507,152,235,191
"1A26_HUMAN",216.1501,195.9329,195.9329,152,235,191
"1A27_HUMAN",213.4855,193.2638,193.2638,152,235,191
"1A28_HUMAN",220.9765,,,152,235,
"1A29_HUMAN",211.0424,191.0863,191.0863,152,235,191
"1A30_HUMAN",214.4986,194.3929,194.3929,152,235,191
"1A31_HUMAN",214.3369,194.1739,194.1739,152,235,191
"1A32_HUMAN",213.7824,193.8512,193.8512,152,235,191
"1A33_HUMAN",213.3948,193.3946,193.3946,152,235,191
"1A34_HUMAN",214.4395,194.3771,194.3771,152,235,191
"1A35_HUMAN",215.0486,194.92,194.92,152,235,191
"1A36_HUMAN",216.0873,,,152,235,
