"ID","Organelle-type","Subtype"
"100K_LACLA","pro",
"14KD_RHOSH","pro","inn"
"1A01_GORGO","er",
"1A01_HUMAN","er",
"1A01_PANTR","er",
"1A01_PONPY","er",
"1A01_SAGOE","er",
"1A02_GORGO","er",
"1A02_HUMAN","er",
"1A02_PANTR","er",
"1A03_GORGO","er",
"1A03_PANTR","er",
"1A04_GORGO","er",
"1A04_PANTR","er",
"1A05_HUMAN","er",
"1A07_HUMAN","er",
"1A12_HUMAN","er",
"1A13_HUMAN","er",
"1A14_HUMAN","er",
"1A16_HUMAN","er",
"1A17_HUMAN","er",
"1A18_HUMAN","er",
"1A19_HUMAN","er",
"1A20_HUMAN","er",
"1A21_HUMAN","er",
"1A22_HUMAN","er",
"1A23_HUMAN","er",
"1A24_HUMAN","er",
"1A25_HUMAN","er",
"1A26_HUMAN","er",
"1A27_HUMAN","er",
"1A28_HUMAN","er",
"1A29_HUMAN","er",
"1A30_HUMAN","er",
"1A31_HUMAN","er",
"1A32_HUMAN","er",
"1A33_HUMAN","er",
"1A34_HUMAN","er",
"1A35_HUMAN","er",
"1A36_HUMAN","er",
"1A38_HUMAN","er",
"1A39_HUMAN","er",
"1AXX_HUMAN","er",
"1B01_GORGO","er",
"1B01_PANTR","er",
"1B01_SAGOE","er",
"1B02_GORGO","er",
"1B02_HUMAN","er",
"1B02_PANTR","er",
"1B03_GORGO","er",
"1B04_GORGO","er",
"1B04_HUMAN","er",
"1B05_HUMAN","er",
"1B07_HUMAN","er",
"1B08_HUMAN","er",
"1B10_HUMAN","er",
"1B11_HUMAN","er",
"1B12_HUMAN","er",
"1B13_HUMAN","er",
"1B14_HUMAN","er",
"1B15_HUMAN","er",
"1B16_HUMAN","er",
"1B18_HUMAN","er",
"1B20_HUMAN","er",
"1B21_HUMAN","er",
"1B22_HUMAN","er",
"1B23_HUMAN","er",
"1B24_HUMAN","er",
"1B25_HUMAN","er",
"1B26_HUMAN","er",
"1B27_HUMAN","er",
"1B28_HUMAN","er",
"1B29_HUMAN","er",
"1B31_HUMAN","er",
"1B32_HUMAN","er",
"1B35_HUMAN","er",
"1B36_HUMAN","er",
"1B38_HUMAN","er",
"1B39_HUMAN","er",
"1B40_HUMAN","er",
"1B41_HUMAN","er",
"1B42_HUMAN","er",
"1B43_HUMAN","er",
"1B44_HUMAN","er",
"1B45_HUMAN","er",
"1B46_HUMAN","er",
"1B47_HUMAN","er",
"1B48_HUMAN","er",
"1B49_HUMAN","er",
"1B52_HUMAN","er",
"1B53_HUMAN","er",
"1B54_HUMAN","er",
"1B55_HUMAN","er",
"1B56_HUMAN","er",
"1B57_HUMAN","er",
"1B58_HUMAN","er",
"1B59_HUMAN","er",
"1B60_HUMAN","er",
"1B61_HUMAN","er",
"1B62_HUMAN","er",
"1B63_HUMAN","er",
"1C01_GORGO","er",
"1C01_HUMAN","er",
"1C01_PANTR","er",
"1C01_SAGOE","er",
"1C02_GORGO","er",
"1C02_HUMAN","er",
"1C03_GORGO","er",
"1C03_HUMAN","er",
"1C04_GORGO","er",
"1C04_HUMAN","er",
"1C05_HUMAN","er",
"1C06_HUMAN","er",
"1C07_HUMAN","er",
"1C12_HUMAN","er",
"1C13_HUMAN","er",
"1C14_HUMAN","er",
"1C15_HUMAN","er",
"1C16_HUMAN","er",
"1C17_HUMAN","er",
"1C28_PANTR","er",
"1CXX_HUMAN","er",
"1OKO_GORGO","er",
"3BH1_HUMAN","er","er"
"3BH1_MOUSE","er","er"
