"ID","No of chains","No of signals"
"100K_LACLA",0,0
"14KD_RHOSH",0,0
"1A01_GORGO",1,1
"1A01_HUMAN",1,1
"1A01_PANTR",1,1
"1A01_PONPY",1,1
"1A01_SAGOE",1,1
"1A02_GORGO",1,1
"1A02_HUMAN",1,1
"1A02_PANTR",1,1
"1A03_GORGO",1,1
"1A03_PANTR",1,1
"1A04_GORGO",1,1
"1A04_PANTR",1,1
"1A05_HUMAN",1,1
"1A07_HUMAN",1,1
"1A12_HUMAN",1,1
"1A13_HUMAN",1,1
"1A14_HUMAN",1,1
"1A16_HUMAN",1,1
"1A17_HUMAN",1,1
"1A18_HUMAN",1,1
"1A19_HUMAN",1,1
"1A20_HUMAN",1,1
"1A21_HUMAN",1,1
"1A22_HUMAN",0,0
"1A23_HUMAN",1,1
"1A24_HUMAN",1,1
"1A25_HUMAN",1,1
"1A26_HUMAN",1,1
"1A27_HUMAN",1,1
"1A28_HUMAN",0,0
"1A29_HUMAN",1,1
"1A30_HUMAN",1,1
"1A31_HUMAN",1,1
"1A32_HUMAN",1,1
"1A33_HUMAN",1,1
"1A34_HUMAN",1,1
"1A35_HUMAN",1,1
"1A36_HUMAN",0,0
"1A38_HUMAN",0,0
"1A39_HUMAN",1,1
"1AXX_HUMAN",0,0
"1B01_GORGO",1,1
"1B01_PANTR",1,1
"1B01_SAGOE",1,1
"1B02_GORGO",1,1
"1B02_HUMAN",1,1
"1B02_PANTR",1,1
"1B03_GORGO",1,1
"1B04_GORGO",1,1
"1B04_HUMAN",1,1
"1B05_HUMAN",1,1
"1B07_HUMAN",1,1
"1B08_HUMAN",1,1
"1B10_HUMAN",1,1
"1B11_HUMAN",1,1
"1B12_HUMAN",1,1
"1B13_HUMAN",1,1
"1B14_HUMAN",1,1
"1B15_HUMAN",1,1
"1B16_HUMAN",1,1
"1B18_HUMAN",1,1
"1B20_HUMAN",0,0
"1B21_HUMAN",1,1
"1B22_HUMAN",1,1
"1B23_HUMAN",1,1
"1B24_HUMAN",1,1
"1B25_HUMAN",1,1
"1B26_HUMAN",1,1
"1B27_HUMAN",1,1
"1B28_HUMAN",1,1
"1B29_HUMAN",1,1
"1B31_HUMAN",1,1
"1B32_HUMAN",1,1
"1B35_HUMAN",1,1
"1B36_HUMAN",1,1
"1B38_HUMAN",1,1
"1B39_HUMAN",1,1
"1B40_HUMAN",1,1
"1B41_HUMAN",1,1
"1B42_HUMAN",1,1
"1B43_HUMAN",1,1
"1B44_HUMAN",1,1
"1B45_HUMAN",1,1
"1B46_HUMAN",1,1
"1B47_HUMAN",1,1
"1B48_HUMAN",1,1
"1B49_HUMAN",1,1
"1B52_HUMAN",1,1
"1B53_HUMAN",1,1
"1B54_HUMAN",1,1
"1B55_HUMAN",1,1
"1B56_HUMAN",1,1
"1B57_HUMAN",1,1
"1B58_HUMAN",1,1
"1B59_HUMAN",1,1
"1B60_HUMAN",1,1
"1B61_HUMAN",1,1
"1B62_HUMAN",1,1
"1B63_HUMAN",1,1
"1C01_GORGO",1,1
"1C01_HUMAN",1,1
"1C01_PANTR",1,1
"1C01_SAGOE",1,1
"1C02_GORGO",1,1
"1C02_HUMAN",1,1
"1C03_GORGO",1,1
"1C03_HUMAN",1,1
"1C04_GORGO",1,1
"1C04_HUMAN",1,1
"1C05_HUMAN",1,1
"1C06_HUMAN",1,1
"1C07_HUMAN",1,1
"1C12_HUMAN",1,1
"1C13_HUMAN",1,1
"1C14_HUMAN",1,1
"1C15_HUMAN",1,1
"1C16_HUMAN",1,1
"1C17_HUMAN",1,1
"1C28_PANTR",1,1
"1CXX_HUMAN",0,0
"1OKO_GORGO",1,1
"3BH1_HUMAN",0,0
"3BH1_MOUSE",0,0
"3BH1_RAT",0,0
"3BH2_HUMAN",0,0
"3BH2_MOUSE",0,0
