"ID","protein-ID","species-ID","group-ID","spec-Type","spec-No"
"100K_LACLA","100K","LACLA","P1420","P",1420
"14KD_RHOSH","14KD","RHOSH","P0120","P",120
"1A01_GORGO","1A01","GORGO","E5210","E",5210
"1A01_HUMAN","1A01","HUMAN","E5210","E",5210
"1A01_PANTR","1A01","PANTR","E5210","E",5210
"1A01_PONPY","1A01","PONPY","E5210","E",5210
"1A01_SAGOE","1A01","SAGOE","E5210","E",5210
"1A02_GORGO","1A02","GORGO","E5210","E",5210
"1A02_HUMAN","1A02","HUMAN","E5210","E",5210
"1A02_PANTR","1A02","PANTR","E5210","E",5210
"1A03_GORGO","1A03","GORGO","E5210","E",5210
"1A03_PANTR","1A03","PANTR","E5210","E",5210
"1A04_GORGO","1A04","GORGO","E5210","E",5210
"1A04_PANTR","1A04","PANTR","E5210","E",5210
"1A05_HUMAN","1A05","HUMAN","E5210","E",5210
"1A07_HUMAN","1A07","HUMAN","E5210","E",5210
"1A12_HUMAN","1A12","HUMAN","E5210","E",5210
"1A13_HUMAN","1A13","HUMAN","E5210","E",5210
"1A14_HUMAN","1A14","HUMAN","E5210","E",5210
"1A16_HUMAN","1A16","HUMAN","E5210","E",5210
"1A17_HUMAN","1A17","HUMAN","E5210","E",5210
"1A18_HUMAN","1A18","HUMAN","E5210","E",5210
"1A19_HUMAN","1A19","HUMAN","E5210","E",5210
"1A20_HUMAN","1A20","HUMAN","E5210","E",5210
"1A21_HUMAN","1A21","HUMAN","E5210","E",5210
"1A22_HUMAN","1A22","HUMAN","E5210","E",5210
"1A23_HUMAN","1A23","HUMAN","E5210","E",5210
"1A24_HUMAN","1A24","HUMAN","E5210","E",5210
"1A25_HUMAN","1A25","HUMAN","E5210","E",5210
"1A26_HUMAN","1A26","HUMAN","E5210","E",5210
"1A27_HUMAN","1A27","HUMAN","E5210","E",5210
"1A28_HUMAN","1A28","HUMAN","E5210","E",5210
"1A29_HUMAN","1A29","HUMAN","E5210","E",5210
"1A30_HUMAN","1A30","HUMAN","E5210","E",5210
"1A31_HUMAN","1A31","HUMAN","E5210","E",5210
"1A32_HUMAN","1A32","HUMAN","E5210","E",5210
"1A33_HUMAN","1A33","HUMAN","E5210","E",5210
"1A34_HUMAN","1A34","HUMAN","E5210","E",5210
"1A35_HUMAN","1A35","HUMAN","E5210","E",5210
"1A36_HUMAN","1A36","HUMAN","E5210","E",5210
"1A38_HUMAN","1A38","HUMAN","E5210","E",5210
"1A39_HUMAN","1A39","HUMAN","E5210","E",5210
"1AXX_HUMAN","1AXX","HUMAN","E5210","E",5210
"1B01_GORGO","1B01","GORGO","E5210","E",5210
"1B01_PANTR","1B01","PANTR","E5210","E",5210
"1B01_SAGOE","1B01","SAGOE","E5210","E",5210
"1B02_GORGO","1B02","GORGO","E5210","E",5210
"1B02_HUMAN","1B02","HUMAN","E5210","E",5210
"1B02_PANTR","1B02","PANTR","E5210","E",5210
"1B03_GORGO","1B03","GORGO","E5210","E",5210
"1B04_GORGO","1B04","GORGO","E5210","E",5210
"1B04_HUMAN","1B04","HUMAN","E5210","E",5210
"1B05_HUMAN","1B05","HUMAN","E5210","E",5210
"1B07_HUMAN","1B07","HUMAN","E5210","E",5210
"1B08_HUMAN","1B08","HUMAN","E5210","E",5210
"1B10_HUMAN","1B10","HUMAN","E5210","E",5210
"1B11_HUMAN","1B11","HUMAN","E5210","E",5210
"1B12_HUMAN","1B12","HUMAN","E5210","E",5210
"1B13_HUMAN","1B13","HUMAN","E5210","E",5210
"1B14_HUMAN","1B14","HUMAN","E5210","E",5210
"1B15_HUMAN","1B15","HUMAN","E5210","E",5210
"1B16_HUMAN","1B16","HUMAN","E5210","E",5210
"1B18_HUMAN","1B18","HUMAN","E5210","E",5210
"1B20_HUMAN","1B20","HUMAN","E5210","E",5210
"1B21_HUMAN","1B21","HUMAN","E5210","E",5210
"1B22_HUMAN","1B22","HUMAN","E5210","E",5210
"1B23_HUMAN","1B23","HUMAN","E5210","E",5210
"1B24_HUMAN","1B24","HUMAN","E5210","E",5210
"1B25_HUMAN","1B25","HUMAN","E5210","E",5210
"1B26_HUMAN","1B26","HUMAN","E5210","E",5210
"1B27_HUMAN","1B27","HUMAN","E5210","E",5210
"1B28_HUMAN","1B28","HUMAN","E5210","E",5210
"1B29_HUMAN","1B29","HUMAN","E5210","E",5210
"1B31_HUMAN","1B31","HUMAN","E5210","E",5210
"1B32_HUMAN","1B32","HUMAN","E5210","E",5210
"1B35_HUMAN","1B35","HUMAN","E5210","E",5210
"1B36_HUMAN","1B36","HUMAN","E5210","E",5210
"1B38_HUMAN","1B38","HUMAN","E5210","E",5210
"1B39_HUMAN","1B39","HUMAN","E5210","E",5210
"1B40_HUMAN","1B40","HUMAN","E5210","E",5210
"1B41_HUMAN","1B41","HUMAN","E5210","E",5210
"1B42_HUMAN","1B42","HUMAN","E5210","E",5210
"1B43_HUMAN","1B43","HUMAN","E5210","E",5210
"1B44_HUMAN","1B44","HUMAN","E5210","E",5210
"1B45_HUMAN","1B45","HUMAN","E5210","E",5210
"1B46_HUMAN","1B46","HUMAN","E5210","E",5210
"1B47_HUMAN","1B47","HUMAN","E5210","E",5210
"1B48_HUMAN","1B48","HUMAN","E5210","E",5210
"1B49_HUMAN","1B49","HUMAN","E5210","E",5210
"1B52_HUMAN","1B52","HUMAN","E5210","E",5210
"1B53_HUMAN","1B53","HUMAN","E5210","E",5210
"1B54_HUMAN","1B54","HUMAN","E5210","E",5210
"1B55_HUMAN","1B55","HUMAN","E5210","E",5210
"1B56_HUMAN","1B56","HUMAN","E5210","E",5210
"1B57_HUMAN","1B57","HUMAN","E5210","E",5210
"1B58_HUMAN","1B58","HUMAN","E5210","E",5210
"1B59_HUMAN","1B59","HUMAN","E5210","E",5210
"1B60_HUMAN","1B60","HUMAN","E5210","E",5210
"1B61_HUMAN","1B61","HUMAN","E5210","E",5210
"1B62_HUMAN","1B62","HUMAN","E5210","E",5210
"1B63_HUMAN","1B63","HUMAN","E5210","E",5210
"1C01_GORGO","1C01","GORGO","E5210","E",5210
"1C01_HUMAN","1C01","HUMAN","E5210","E",5210
"1C01_PANTR","1C01","PANTR","E5210","E",5210
"1C01_SAGOE","1C01","SAGOE","E5210","E",5210
"1C02_GORGO","1C02","GORGO","E5210","E",5210
"1C02_HUMAN","1C02","HUMAN","E5210","E",5210
"1C03_GORGO","1C03","GORGO","E5210","E",5210
"1C03_HUMAN","1C03","HUMAN","E5210","E",5210
"1C04_GORGO","1C04","GORGO","E5210","E",5210
"1C04_HUMAN","1C04","HUMAN","E5210","E",5210
"1C05_HUMAN","1C05","HUMAN","E5210","E",5210
"1C06_HUMAN","1C06","HUMAN","E5210","E",5210
"1C07_HUMAN","1C07","HUMAN","E5210","E",5210
"1C12_HUMAN","1C12","HUMAN","E5210","E",5210
"1C13_HUMAN","1C13","HUMAN","E5210","E",5210
"1C14_HUMAN","1C14","HUMAN","E5210","E",5210
"1C15_HUMAN","1C15","HUMAN","E5210","E",5210
"1C16_HUMAN","1C16","HUMAN","E5210","E",5210
"1C17_HUMAN","1C17","HUMAN","E5210","E",5210
"1C28_PANTR","1C28","PANTR","E5210","E",5210
"1CXX_HUMAN","1CXX","HUMAN","E5210","E",5210
"1OKO_GORGO","1OKO","GORGO","E5210","E",5210
"3BH1_HUMAN","3BH1","HUMAN","E5210","E",5210
"3BH1_MOUSE","3BH1","MOUSE","E5230","E",5230
"3BH1_RAT","3BH1","RAT","E5230","E",5230
"3BH2_HUMAN","3BH2","HUMAN","E5210","E",5210
"3BH2_MOUSE","3BH2","MOUSE","E5230","E",5230
"3BH2_RAT","3BH2","RAT","E5230","E",5230
"3BH3_MOUSE","3BH3","MOUSE","E5230","E",5230
"3BH3_RAT","3BH3","RAT","E5230","E",5230
"3BHS_BOVIN","3BHS","BOVIN","E5100","E",5100
"3BHS_MACMU","3BHS","MACMU","E5210","E",5210
"4F2_HUMAN","4F2","HUMAN","E5210","E",5210
"4F2_MOUSE","4F2","MOUSE","E5230","E",5230
"5HT1_DROME","5HT1","DROME","E6230","E",6230
"5HT2_CRIGR","5HT2","CRIGR","E5230","E",5230
