"group-ID","Spec-Type","Spec-No","1st level","2nd level","3rd level","4th level","5th level","6th level","7th level"
"E0000","E",0,"NOT YET CLASSIFIED",,,,,,
"E1000","E",1000,"PROTOZOA","SARCOMASTIGOPHORA","MASTIGOPHORA","KINETOPLASTIDA","TRYPANOSOMATIDAE",,
"E1010","E",1010,"PROTOZOA","SARCOMASTIGOPHORA","MASTIGOPHORA","DIPLOMONADIDA","HEXAMITIDAE",,
"E1030","E",1030,"PROTOZOA","SARCOMASTIGOPHORA","SARCODINA","RHIZOPODA","LOBOSA","AMOEBIDA",
"E1040","E",1040,"PROTOZOA","SARCOMASTIGOPHORA","SARCODINA","RHIZOPODA","LOBOSA","SCHIZOPYRENIDA",
"E1050","E",1050,"PROTOZOA","SARCOMASTIGOPHORA","SARCODINA","RHIZOPODA","EUMYCETOZOA","DICTYOSTELIA",
"E1060","E",1060,"PROTOZOA","SARCOMASTIGOPHORA","SARCODINA","RHIZOPODA","EUMYCETOZOA","MYXOGASTRIA",
"E1100","E",1100,"PROTOZOA","APICOMPLEXA","SPOROZOA","COCCIDIA","EUCOCCIDIIDA",,
"E1150","E",1150,"PROTOZOA","APICOMPLEXA","SPOROZOA","COCCIDIA","PIROPLASMIDA",,
"E1200","E",1200,"PROTOZOA","CILIOPHORA","CILIATA","HOLOTRICHA","HYMENOSTOMATIDA",,
"E1220","E",1220,"PROTOZOA","CILIOPHORA","CILIATA","SPIROTRICHA","HYPOTRICHIDA",,
"E1800","E",1800,"METAZOA","HEMICHORDATA",,,,,
"E1900","E",1900,"METAZOA","CHORDATA","CEPHALOCORDATA","BRANCHIOSTOMIDAE",,,
"E1920","E",1920,"METAZOA","CHORDATA","TUNICATA",,,,
"E2000","E",2000,"METAZOA","CHORDATA","VERTEBRATA","PISCES","AGNATHA (CYCLOSTOMATA)",,
"E2100","E",2100,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","CHONDRICHTHYES",
"E2200","E",2200,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","DIPNEUSTI"
"E2300","E",2300,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","CROSSOPTERYGII"
"E2400","E",2400,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
"E2410","E",2410,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
"E2420","E",2420,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
"E2430","E",2430,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
"E2440","E",2440,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
"E2450","E",2450,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
"E2460","E",2460,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
"E2470","E",2470,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
"E2480","E",2480,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
"E2490","E",2490,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
"E2500","E",2500,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
"E2510","E",2510,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
"E2520","E",2520,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
"E2530","E",2530,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
"E2540","E",2540,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
"E2550","E",2550,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
"E2560","E",2560,"METAZOA","CHORDATA","VERTEBRATA","PISCES","GNATHOSTOMATA","OSTEICHTHYES","ACTINOPTERYGII"
