"ID","PAM80-Family","PAM200-Family","PAM200-reduced"
"100K_LACLA",1,1,1
"14KD_RHOSH",2,2,2
"1A01_GORGO",3,3,3
"1A01_HUMAN",3,3,3
"1A01_PANTR",3,3,3
"1A01_PONPY",3,3,3
"1A01_SAGOE",3,3,3
"1A02_GORGO",3,3,3
"1A02_HUMAN",3,3,3
"1A02_PANTR",3,3,3
"1A03_GORGO",3,3,3
"1A03_PANTR",3,3,3
"1A04_GORGO",3,3,3
"1A04_PANTR",3,3,3
"1A05_HUMAN",3,3,3
"1A07_HUMAN",3,3,3
"1A12_HUMAN",3,3,3
"1A13_HUMAN",3,3,3
"1A14_HUMAN",3,3,3
"1A16_HUMAN",3,3,3
"1A17_HUMAN",3,3,3
"1A18_HUMAN",3,3,3
"1A19_HUMAN",3,3,3
"1A20_HUMAN",3,3,3
"1A21_HUMAN",3,3,3
"1A22_HUMAN",3,3,3
"1A23_HUMAN",3,3,3
"1A24_HUMAN",3,3,3
"1A25_HUMAN",3,3,3
"1A26_HUMAN",3,3,3
"1A27_HUMAN",3,3,3
"1A28_HUMAN",3,3,3
"1A29_HUMAN",3,3,3
"1A30_HUMAN",3,3,3
"1A31_HUMAN",3,3,3
"1A32_HUMAN",3,3,3
"1A33_HUMAN",3,3,3
"1A34_HUMAN",3,3,3
"1A35_HUMAN",3,3,3
"1A36_HUMAN",3,3,3
"1A38_HUMAN",3,3,3
"1A39_HUMAN",3,3,3
"1AXX_HUMAN",3,3,3
"1B01_GORGO",3,3,3
"1B01_PANTR",3,3,3
"1B01_SAGOE",3,3,3
"1B02_GORGO",3,3,3
"1B02_HUMAN",3,3,3
"1B02_PANTR",3,3,3
"1B03_GORGO",3,3,3
"1B04_GORGO",3,3,3
"1B04_HUMAN",3,3,3
"1B05_HUMAN",3,3,3
"1B07_HUMAN",3,3,3
"1B08_HUMAN",3,3,3
"1B10_HUMAN",3,3,3
"1B11_HUMAN",3,3,3
"1B12_HUMAN",3,3,3
"1B13_HUMAN",3,3,3
"1B14_HUMAN",3,3,3
"1B15_HUMAN",3,3,3
"1B16_HUMAN",3,3,3
"1B18_HUMAN",3,3,3
"1B20_HUMAN",3,3,3
"1B21_HUMAN",3,3,3
"1B22_HUMAN",3,3,3
"1B23_HUMAN",3,3,3
"1B24_HUMAN",3,3,3
"1B25_HUMAN",3,3,3
"1B26_HUMAN",3,3,3
"1B27_HUMAN",3,3,3
"1B28_HUMAN",3,3,3
"1B29_HUMAN",3,3,3
"1B31_HUMAN",3,3,3
"1B32_HUMAN",3,3,3
"1B35_HUMAN",3,3,3
"1B36_HUMAN",3,3,3
"1B38_HUMAN",3,3,3
"1B39_HUMAN",3,3,3
"1B40_HUMAN",3,3,3
"1B41_HUMAN",3,3,3
"1B42_HUMAN",3,3,3
"1B43_HUMAN",3,3,3
"1B44_HUMAN",3,3,3
"1B45_HUMAN",3,3,3
"1B46_HUMAN",3,3,3
"1B47_HUMAN",3,3,3
"1B48_HUMAN",3,3,3
"1B49_HUMAN",3,3,3
"1B52_HUMAN",3,3,3
"1B53_HUMAN",3,3,3
"1B54_HUMAN",3,3,3
"1B55_HUMAN",3,3,3
"1B56_HUMAN",3,3,3
"1B57_HUMAN",3,3,3
"1B58_HUMAN",3,3,3
"1B59_HUMAN",3,3,3
"1B60_HUMAN",3,3,3
"1B61_HUMAN",3,3,3
"1B62_HUMAN",3,3,3
"1B63_HUMAN",3,3,3
"1C01_GORGO",3,3,3
"1C01_HUMAN",3,3,3
"1C01_PANTR",3,3,3
"1C01_SAGOE",3,3,3
"1C02_GORGO",3,3,3
"1C02_HUMAN",3,3,3
"1C03_GORGO",3,3,3
"1C03_HUMAN",3,3,3
"1C04_GORGO",3,3,3
