"ID","Nterm"
"100K_LACLA",
"14KD_RHOSH",
"1A01_GORGO","o"
"1A01_HUMAN","o"
"1A01_PANTR","o"
"1A01_PONPY","o"
"1A01_SAGOE","o"
"1A02_GORGO","o"
"1A02_HUMAN","o"
"1A02_PANTR","o"
"1A03_GORGO","o"
"1A03_PANTR","o"
"1A04_GORGO","o"
"1A04_PANTR","o"
"1A05_HUMAN","o"
"1A07_HUMAN","o"
"1A12_HUMAN","o"
"1A13_HUMAN","o"
"1A14_HUMAN","o"
"1A16_HUMAN","o"
"1A17_HUMAN","o"
"1A18_HUMAN","o"
"1A19_HUMAN","o"
"1A20_HUMAN","o"
"1A21_HUMAN","o"
"1A22_HUMAN","o"
"1A23_HUMAN","o"
"1A24_HUMAN","o"
"1A25_HUMAN","o"
"1A26_HUMAN","o"
"1A27_HUMAN","o"
"1A28_HUMAN",
"1A29_HUMAN","o"
"1A30_HUMAN","o"
"1A31_HUMAN","o"
"1A32_HUMAN","o"
"1A33_HUMAN","o"
"1A34_HUMAN","o"
"1A35_HUMAN","o"
"1A36_HUMAN",
"1A38_HUMAN",
"1A39_HUMAN","o"
"1AXX_HUMAN","o"
"1B01_GORGO","o"
"1B01_PANTR","o"
"1B01_SAGOE","o"
"1B02_GORGO","o"
"1B02_HUMAN","o"
"1B02_PANTR","o"
"1B03_GORGO","o"
"1B04_GORGO","o"
"1B04_HUMAN","o"
"1B05_HUMAN","o"
"1B07_HUMAN","o"
"1B08_HUMAN","o"
"1B10_HUMAN","o"
"1B11_HUMAN","o"
"1B12_HUMAN","o"
"1B13_HUMAN","o"
"1B14_HUMAN","o"
"1B15_HUMAN","o"
"1B16_HUMAN","o"
"1B18_HUMAN","o"
"1B20_HUMAN","o"
"1B21_HUMAN","o"
"1B22_HUMAN","o"
"1B23_HUMAN","o"
"1B24_HUMAN","o"
"1B25_HUMAN","o"
"1B26_HUMAN","o"
"1B27_HUMAN","o"
"1B28_HUMAN","o"
"1B29_HUMAN","o"
"1B31_HUMAN","o"
"1B32_HUMAN","o"
"1B35_HUMAN","o"
"1B36_HUMAN","o"
"1B38_HUMAN","o"
"1B39_HUMAN","o"
"1B40_HUMAN","o"
"1B41_HUMAN","o"
"1B42_HUMAN","o"
"1B43_HUMAN","o"
"1B44_HUMAN","o"
"1B45_HUMAN","o"
"1B46_HUMAN","o"
"1B47_HUMAN","o"
"1B48_HUMAN","o"
"1B49_HUMAN","o"
"1B52_HUMAN","o"
"1B53_HUMAN","o"
"1B54_HUMAN","o"
"1B55_HUMAN","o"
"1B56_HUMAN","o"
"1B57_HUMAN","o"
"1B58_HUMAN","o"
"1B59_HUMAN","o"
"1B60_HUMAN","o"
"1B61_HUMAN","o"
"1B62_HUMAN","o"
"1B63_HUMAN","o"
